# Raven JAGS factual catalog manifest v1
# JAGS version: 4.3.2
# Source: https://downloads.sourceforge.net/project/mcmc-jags/JAGS/4.x/Source/JAGS-4.3.2.tar.gz
# SHA-256: 871f556af403a7c2ce6a0f02f15cf85a572763e093d26658ebac55c4ab472fc8
# Automatically loaded modules: basemod, bugs
# kind	module	name	canonical_name	arity (-1 means variadic)
keyword	compiler	data	data	0
keyword	compiler	for	for	0
keyword	compiler	in	in	0
keyword	compiler	model	model	0
keyword	compiler	var	var	0
contextual	compiler	I	I	0
contextual	compiler	T	T	0
callable	bugs	abs	abs	1
callable	bugs	acos	arccos	1
callable	bugs	acosh	arccosh	1
callable	bugs	arccos	arccos	1
callable	bugs	arccosh	arccosh	1
callable	bugs	arcsin	arcsin	1
callable	bugs	arcsinh	arcsinh	1
callable	bugs	arctan	arctan	1
callable	bugs	arctanh	arctanh	1
callable	bugs	asin	arcsin	1
callable	bugs	asinh	arcsinh	1
callable	bugs	atan	arctan	1
callable	bugs	atanh	arctanh	1
callable	bugs	c	c	-1
callable	bugs	cloglog	cloglog	1
callable	bugs	cos	cos	1
callable	bugs	cosh	cosh	1
callable	bugs	dbeta	dbeta	3
callable	bugs	dbin	dbin	3
callable	bugs	dchisqr	dchisqr	2
callable	bugs	ddexp	ddexp	3
callable	bugs	dexp	dexp	2
callable	bugs	df	df	3
callable	bugs	dgamma	dgamma	3
callable	bugs	dgen.gamma	dgen.gamma	4
callable	bugs	dhyper	dhyper	5
callable	compiler	dim	dim	1
callable	bugs	dinterval	dinterval	2
callable	bugs	dlnorm	dlnorm	3
callable	bugs	dlogis	dlogis	3
callable	bugs	dnchisqr	dnchisqr	3
callable	bugs	dnegbin	dnegbin	3
callable	bugs	dnorm	dnorm	3
callable	bugs	dnt	dnt	4
callable	bugs	dpar	dpar	3
callable	bugs	dpois	dpois	2
callable	bugs	dround	dround	2
callable	bugs	dsum	dsum	-1
callable	bugs	dt	dt	4
callable	bugs	dweib	dweib	3
callable	bugs	equals	equals	2
callable	bugs	exp	exp	1
callable	bugs	icloglog	icloglog	1
callable	bugs	ifelse	ifelse	3
callable	bugs	ilogit	ilogit	1
callable	bugs	inprod	inprod	2
callable	bugs	interp.lin	interp.lin	3
callable	bugs	inverse	inverse	1
callable	compiler	length	length	1
callable	bugs	log	log	1
callable	bugs	logdensity.bern	logdensity.bern	2
callable	bugs	logdensity.beta	logdensity.beta	3
callable	bugs	logdensity.bin	logdensity.bin	3
callable	bugs	logdensity.cat	logdensity.cat	2
callable	bugs	logdensity.chisqr	logdensity.chisqr	2
callable	bugs	logdensity.dexp	logdensity.dexp	3
callable	bugs	logdensity.dirch	logdensity.dirch	2
callable	bugs	logdensity.exp	logdensity.exp	2
callable	bugs	logdensity.f	logdensity.f	3
callable	bugs	logdensity.gamma	logdensity.gamma	3
callable	bugs	logdensity.gen.gamma	logdensity.gen.gamma	4
callable	bugs	logdensity.hyper	logdensity.hyper	5
callable	bugs	logdensity.interval	logdensity.interval	3
callable	bugs	logdensity.lnorm	logdensity.lnorm	3
callable	bugs	logdensity.logis	logdensity.logis	3
callable	bugs	logdensity.mnorm	logdensity.mnorm	3
callable	bugs	logdensity.mnorm.vcov	logdensity.mnorm.vcov	3
callable	bugs	logdensity.mt	logdensity.mt	4
callable	bugs	logdensity.multi	logdensity.multi	3
callable	bugs	logdensity.nchisqr	logdensity.nchisqr	3
callable	bugs	logdensity.negbin	logdensity.negbin	3
callable	bugs	logdensity.norm	logdensity.norm	3
callable	bugs	logdensity.nt	logdensity.nt	4
callable	bugs	logdensity.par	logdensity.par	3
callable	bugs	logdensity.pois	logdensity.pois	2
callable	bugs	logdensity.round	logdensity.round	3
callable	bugs	logdensity.rw1	logdensity.rw1	3
callable	bugs	logdensity.sample	logdensity.sample	3
callable	bugs	logdensity.sum	logdensity.sum	1
callable	bugs	logdensity.t	logdensity.t	4
callable	bugs	logdensity.um	logdensity.um	1
callable	bugs	logdensity.unif	logdensity.unif	3
callable	bugs	logdensity.weib	logdensity.weib	3
callable	bugs	logdensity.wish	logdensity.wish	3
callable	bugs	logdet	logdet	1
callable	bugs	logfact	logfact	1
callable	bugs	loggam	loggam	1
callable	bugs	logit	logit	1
callable	bugs	max	max	-1
callable	bugs	mean	mean	1
callable	bugs	min	min	-1
callable	bugs	order	order	1
callable	bugs	pbeta	pbeta	3
callable	bugs	pbin	pbin	3
callable	bugs	pchisqr	pchisqr	2
callable	bugs	pdexp	pdexp	3
callable	bugs	pexp	pexp	2
callable	bugs	pf	pf	3
callable	bugs	pgamma	pgamma	3
callable	bugs	pgen.gamma	pgen.gamma	4
callable	bugs	phi	phi	1
callable	bugs	phyper	phyper	5
callable	bugs	plnorm	plnorm	3
callable	bugs	plogis	plogis	3
callable	bugs	pnchisqr	pnchisqr	3
callable	bugs	pnegbin	pnegbin	3
callable	bugs	pnorm	pnorm	3
callable	bugs	pnt	pnt	4
callable	basemod	pow	^	2
callable	bugs	ppar	ppar	3
callable	bugs	ppois	ppois	2
callable	bugs	probit	probit	1
callable	bugs	prod	prod	-1
callable	bugs	pt	pt	4
callable	bugs	pweib	pweib	3
callable	bugs	qbeta	qbeta	3
callable	bugs	qbin	qbin	3
callable	bugs	qchisqr	qchisqr	2
callable	bugs	qdexp	qdexp	3
